NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2022-06-21,54765.2351371485,2900,0.03152174,56793.577179265,57469.6911933038,54703.7702267812,91419.1569791074,2460200,224909410000,728600,69070936000,3188800,293980346000,0,-0.03202924257227621,0.4922906766846793,6
2022-06-22,51937.8492602587,-4600,-0.05162738,55195.4895097186,55564.2789719217,51876.3843498914,87576.81227704113,2971400,260225740000,554900,52337195000,3526300,312562935000,0,-0.053007800113634984,0.508531708136642,6
2022-06-23,52552.4983639302,1000,0.01183432,51630.5247084227,53351.5421987035,51446.1299773213,85161.37453646478,2022500,172238880000,1399625,121896112375,3422125,294134992375,0,0.01176484157958248,0.47178203697471177,6
2022-06-24,52552.4983639302,0,0.0,52921.2878261333,53966.1913023752,52552.4983639302,86500.98625886525,902400,78058490000,29000,2650600000,931400,80709090000,0,0.0,0.4664630540934439,6
2022-06-27,53167.147467602,1000,0.01169591,53105.6825572348,54027.6562127425,52798.3580053991,87055.10041440868,1254800,109236740000,1264300,112461219000,2519100,221697959000,0,0.011628037995120969,0.4664762597516602,6
2022-06-28,55134.0245993514,3200,0.03699422,55011.094778617,55441.3491511873,53597.4018401722,89068.93668901855,2296600,204555720000,1581600,141210180000,3878200,345765900000,0,0.036326355126916135,0.43748679937466745,6
2022-06-29,55318.419330453,300,0.00334448,54642.305316414,55318.419330453,54212.0509438439,89130.60206325047,1182600,105405850000,1626200,150174484200,2808800,255580334200,0,0.0033389012655161794,0.4319606600563509,6
2022-06-30,52982.7527365005,-3800,-0.04222222,55011.094778617,55256.9544200858,52982.7527365005,87847.65350149354,1506500,132342490000,519700,47821860000,2026200,180164350000,0,-0.0431394926606184,0.45190091321594955,6
2022-07-01,54089.1211231097,1800,0.02088167,53474.4720194379,54580.8404060469,52122.2439913601,86352.95019157088,1696500,146497780000,1070000,95097440000,2766500,241595220000,0,0.02066663680856152,0.45493575667108976,7
2022-07-04,53290.0772883363,-1300,-0.01477273,54396.4456749454,54396.4456749454,52859.8229157661,87434.72899055197,1005500,87915620000,0,0,1005500,87915620000,0,-0.014882930691713684,0.45628631412462073,7
2022-07-05,52491.0334535631,-1300,-0.01499423,53966.1913023752,53966.1913023752,52491.0334535631,86253.16709658928,1395600,120374920000,727200,64309204800,2122800,184684124800,0,-0.015107782991971921,0.4569618635988824,7
2022-07-06,51323.2001565869,-1900,-0.02224824,51691.9896187899,52798.3580053991,51323.2001565869,84382.55240996237,2232400,188375610000,1524000,131813330000,3756400,320188940000,0,-0.02249946893771384,0.41787817208629674,7
2022-07-07,51077.3405151182,-400,-0.00479042,51569.0597980556,51999.3141706259,51077.3405151182,83753.51784187205,1286300,107732150000,1200200,102216730000,2486500,209948880000,0,-0.004801929995407641,0.41746746717382854,7
2022-07-08,51384.6650669541,500,0.00601685,51569.0597980556,51630.5247084227,51077.3405151182,83468.10193321617,910400,75989360000,1027100,86886843600,1937500,162876203600,0,0.005998818229254326,0.3796386189819229,7
2022-07-11,50892.9457840168,-800,-0.00956938,51999.3141706259,51999.3141706259,50892.9457840168,83555.4152890492,998100,83396660000,400700,34181380000,1398800,117578040000,0,-0.009615458699440636,0.3800677571021493,7
2022-07-12,51323.2001565869,700,0.00845411,50892.9457840168,51323.2001565869,50831.4808736495,83274.15394824154,602800,50197660000,315500,26681904000,918300,76879564000,0,0.008418570465593845,0.3805535575300438,7
2022-07-13,50708.5510529153,-1000,-0.01197605,51630.5247084227,51630.5247084227,50708.5510529153,83056.47409485404,1140700,94742520000,624000,51825600000,1764700,146568120000,0,-0.012048338516172458,0.3766611965743756,7
